key,view,sample,score,hash,file,seed,sunElev,sunAz,massif,coverage,tone,quality,resolutionScale,temporalUpscale,jitter,shadowStep,drawingBuffer,glRenderer,camera
"C3","wide","1","0.047501","221d1bf4a86c44be4ac8518d9218c0c11030fc1ec805d4d28efac65978fb9e54","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C3_wide.png","64916","9.5","-118","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-1366.75,739.83,1696.59]"
"C4","saved","1","0.398369","d86c359807ac457d8920f5cd19bca34a809af08cc2e49021a78b489355a32141","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C4_s01.png","21155","1.5","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-334.2,514.25,-608.7]"
"C4","saved","2","0.448027","b1a543bc409bc3672bf2faca6b01d75aae694aca5d148bfa2c83962719308d93","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C4_s02.png","21155","1.5","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-334.2,514.25,-608.7]"
"C4","saved","3","0.395719","17b7b6acbc0d21f46a6a5413767b13061305d1ab2966fa3f4e385c82e2cc7e6c","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C4_s03.png","21155","1.5","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-334.2,514.25,-608.7]"
"C4","wide","1","0.078402","2d7f537c4f89910da5554f8caec4ebd8954ff35ffb0dbbf059e03829a9ecdb07","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C4_wide.png","21155","1.5","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-1282.11,796.72,-615.67]"
"C5","saved","1","0.035206","d59ce36dd4074b64dccb60c25892a077f72bf0d6dae7892a583cbabedcc4134a","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C5_s01.png","64916","9.5","-151","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-699.61,299.78,1499.68]"
"C5","saved","2","0.047643","9a8c18a169abe434069a8468b56f969ca986d57dab46fe892c96fcdfc126b94c","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C5_s02.png","64916","9.5","-151","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-699.61,299.78,1499.68]"
"C5","saved","3","0.035939","7ff0b679bdf85ef96c62fdad4450b98da7fb6706b6859c48ef94d59274f8d73c","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C5_s03.png","64916","9.5","-151","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-699.61,299.78,1499.68]"
"C5","wide","1","0.036047","898834ff9b9c90741cbdbc47d5942c251d07639b05c8757f537c8522e712fabe","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C5_wide.png","64916","9.5","-151","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-943.23,563.73,2416.86]"
"C6","saved","1","0.331008","d9499b26eb64d2638837f2b0f2674e73fe189e4616d82e5495b196e9bf9b8236","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C6_s01.png","21155","-1.5","-113","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-168.75,241.51,383.95]"
